variable,pisa_topk,mlftau_topk,pisa_contexts,mlftau_contexts,pisa_best_rank,mlftau_best_rank,pisa_max_imp,mlftau_max_imp,pisa_peak_slice,mlftau_peak_slice,sensitivity_type
st_reason_school_missed_sick,TRUE,FALSE,OutOfSchool,,2,NA,0.481705774,NA,PISA_Contextual_OutOfSchool | OutOfSchool | Construct | context | context_health_and_well_being | SCIE,NA,PISA-only (top-k)
st_student_gender,TRUE,FALSE,OutOfSchool,,1,NA,1,NA,PISA_Contextual_OutOfSchool | OutOfSchool | Construct | context | context_basic_demographics | READ,NA,PISA-only (top-k)
st_time_spent_on_language_homework,TRUE,FALSE,OutOfSchool,,1,NA,1,NA,PISA_Contextual_OutOfSchool | OutOfSchool | Construct | process | context_subject_specific_beliefs_attitudes_feelings_and_behaviours | READ,NA,PISA-only (top-k)
st_time_spent_on_science_homework,TRUE,FALSE,OutOfSchool,,1,NA,1,NA,PISA_Contextual_OutOfSchool | OutOfSchool | Construct | process | context_subject_specific_beliefs_attitudes_feelings_and_behaviours | MATH,NA,PISA-only (top-k)
st_wait_turn_to_speak,TRUE,FALSE,InSchool,,12,NA,0.163232961,NA,PISA_Contextual_InSchool | InSchool | Construct | process | context_general_social_and_emotional_characteristics | SCIE,NA,PISA-only (top-k)
st_worry_insufficient_money_future,TRUE,FALSE,OutOfSchool,,2,NA,0.1579231,NA,PISA_Contextual_OutOfSchool | OutOfSchool | Construct | output | context_educational_pathways_and_aspirations | READ,NA,PISA-only (top-k)
st_worry_unprepared_after_school,TRUE,FALSE,InSchool; OutOfSchool,,1,NA,1,NA,PISA_Contextual_InSchool | InSchool | Construct | input | context_educational_pathways_and_aspirations | MATH,NA,PISA-only (top-k)
stdv_feeling_safe,TRUE,FALSE,InSchool,,3,NA,0.511653552,NA,PISA_Contextual_InSchool | InSchool | Construct | process | context_health_and_well_being | READ,NA,PISA-only (top-k)
stdv_home_language_dv,TRUE,FALSE,OutOfSchool,,1,NA,1,NA,PISA_Contextual_OutOfSchool | OutOfSchool | Construct | context | context_migration_and_language_exposure | MATH,NA,PISA-only (top-k)
stdv_school_safety_risk,TRUE,FALSE,InSchool,,1,NA,1,NA,PISA_Contextual_InSchool | InSchool | Construct | context | context_health_and_well_being | MATH,NA,PISA-only (top-k)
