framework_group,variable,topk_in_school,topk_out_school,best_rank_in_school,best_rank_out_school,max_imp_in_school,max_imp_out_school,peak_slice_in_school,peak_slice_out_school,shift_type
MLFTAU,st_rate_quality_math_instruction,TRUE,FALSE,1,NA,1,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | group_class | organisation_attributes | MATH,NA,InSchool-only (top-k)
MLFTAU,st_reason_school_missed_safety,TRUE,FALSE,1,NA,1,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_society | environment_attributes | MATH,NA,InSchool-only (top-k)
MLFTAU,st_reason_school_missed_suspended,TRUE,FALSE,2,NA,0.220606121,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | group_class | organisation_attributes | READ,NA,InSchool-only (top-k)
MLFTAU,st_school_confidence_decisions,TRUE,FALSE,1,NA,1,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | cognitive_learning_outcomes | MATH,NA,InSchool-only (top-k)
MLFTAU,st_school_enrollment_duration,TRUE,FALSE,3,NA,0.351548352,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | facilitating_conditions | SCIE,NA,InSchool-only (top-k)
MLFTAU,st_school_prepared_future,TRUE,FALSE,1,NA,1,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | cognitive_learning_outcomes | READ,NA,InSchool-only (top-k)
MLFTAU,st_school_unprepared_adult_life,TRUE,FALSE,2,NA,0.692183479,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | performance_expectancy | SCIE,NA,InSchool-only (top-k)
MLFTAU,st_school_useful_in_job,TRUE,FALSE,2,NA,0.614254549,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | performance_expectancy | READ,NA,InSchool-only (top-k)
MLFTAU,st_school_waste_of_time,TRUE,FALSE,1,NA,1,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | performance_expectancy | MATH,NA,InSchool-only (top-k)
MLFTAU,st_student_grade_level,TRUE,FALSE,14,NA,0.15975192,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | individual | user_attributes | READ,NA,InSchool-only (top-k)
MLFTAU,st_total_class_periods_per_week,TRUE,FALSE,1,NA,1,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | events_time | MATH,NA,InSchool-only (top-k)
MLFTAU,st_understand_classmates_thinking,TRUE,FALSE,1,NA,1,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | group_class | user_attributes | MATH,NA,InSchool-only (top-k)
MLFTAU,stdv_bullying_experience,TRUE,FALSE,1,NA,1,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | well_being_outcomes | MATH,NA,InSchool-only (top-k)
